id_filmu: 1, id_uzytkownika: 2, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 25, id_uzytkownika: 50, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 26, id_uzytkownika: 52, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 27, id_uzytkownika: 54, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 28, id_uzytkownika: 56, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 29, id_uzytkownika: 58, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 30, id_uzytkownika: 60, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 31, id_uzytkownika: 62, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 32, id_uzytkownika: 64, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 33, id_uzytkownika: 66, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 34, id_uzytkownika: 68, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 35, id_uzytkownika: 70, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 36, id_uzytkownika: 72, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 37, id_uzytkownika: 74, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 38, id_uzytkownika: 76, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 39, id_uzytkownika: 78, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 40, id_uzytkownika: 80, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 41, id_uzytkownika: 82, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 42, id_uzytkownika: 84, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 43, id_uzytkownika: 86, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 44, id_uzytkownika: 88, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 45, id_uzytkownika: 90, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 46, id_uzytkownika: 92, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 47, id_uzytkownika: 94, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 48, id_uzytkownika: 96, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 49, id_uzytkownika: 98, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 50, id_uzytkownika: 100, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 51, id_uzytkownika: 102, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 52, id_uzytkownika: 104, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 53, id_uzytkownika: 106, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 54, id_uzytkownika: 108, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 55, id_uzytkownika: 110, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 56, id_uzytkownika: 112, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 57, id_uzytkownika: 114, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 58, id_uzytkownika: 116, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 59, id_uzytkownika: 118, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 60, id_uzytkownika: 120, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 61, id_uzytkownika: 122, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 62, id_uzytkownika: 124, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 63, id_uzytkownika: 126, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 64, id_uzytkownika: 128, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 65, id_uzytkownika: 130, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 66, id_uzytkownika: 132, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 67, id_uzytkownika: 134, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 68, id_uzytkownika: 136, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 69, id_uzytkownika: 138, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 70, id_uzytkownika: 140, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 71, id_uzytkownika: 142, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 72, id_uzytkownika: 144, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 73, id_uzytkownika: 146, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 74, id_uzytkownika: 148, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 75, id_uzytkownika: 150, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 76, id_uzytkownika: 152, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 77, id_uzytkownika: 154, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 78, id_uzytkownika: 156, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 79, id_uzytkownika: 158, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 80, id_uzytkownika: 160, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 81, id_uzytkownika: 162, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 82, id_uzytkownika: 164, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 83, id_uzytkownika: 166, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 84, id_uzytkownika: 168, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 85, id_uzytkownika: 170, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 86, id_uzytkownika: 172, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 87, id_uzytkownika: 174, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 88, id_uzytkownika: 176, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 89, id_uzytkownika: 178, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 90, id_uzytkownika: 180, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 91, id_uzytkownika: 182, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 92, id_uzytkownika: 184, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 93, id_uzytkownika: 186, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 94, id_uzytkownika: 188, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 95, id_uzytkownika: 190, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 96, id_uzytkownika: 192, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 97, id_uzytkownika: 194, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 98, id_uzytkownika: 196, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 99, id_uzytkownika: 198, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 100, id_uzytkownika: 200, ocena: 1, data_glosowania: 2024-01-10
